id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
650636824505488603,1 Bedroom Victorian Flat in Pacific Heights,445697747,Tim,,Pacific Heights,37.793643323919696,-122.42804756992187,Entire home/apt,232,30,0,,,2,363,0,
634113847997360327,Lovely 2 bedroom apt in SF with parking,245142983,Kelly & Angelo,,Bayview,37.73656,-122.39647,Entire home/apt,169,1,12,2022-09-04,4.86,2,66,12,2022-004860STR
677570334731593776,San Francisco Canterbury - Lovely 1 Bedroom,159471736,Andy,,Downtown/Civic Center,37.7889904,-122.4127915,Entire home/apt,379,2,1,2022-08-10,1,1,351,1,Exempt
677593273796011509,Garden Bedroom Steps from Golden Gate Park,6608866,Jessica & Marc,,Inner Richmond,37.773777565901284,-122.47429412390414,Private room,460,1,0,,,3,190,0,1127530
677612953936484679,Light Filled Bedroom Steps from Golden Gate Park,6608866,Jessica & Marc,,Inner Richmond,37.7739848314116,-122.4744148973854,Private room,465,2,1,2022-08-08,1,3,190,1,1127530
677674219004007185,"Live/Work Furnished 3Br/2Ba, Pool, Gym and Parking",1257432,San Francisco Life Real Estate,,Potrero Hill,37.76065388911134,-122.40070147643418,Entire home/apt,293,30,0,,,31,310,0,
677810352628161594,Boutique hotel in San Francisco w/ Ocean View,247216,Jimmy,,Financial District,37.791808140375934,-122.39190698390146,Private room,179,30,0,,,2,365,0,
650647586084544103,Great 1 Bedroom Victorian Flat in Pacific Heights,445697747,Tim,,Pacific Heights,37.793882115460534,-122.42960273678496,Entire home/apt,261,30,1,2022-09-02,1,2,336,1,
679586044217297483,"Cozy Private Room, Wifi and Remote Workers",159355723,Outsite,,Castro/Upper Market,37.76425595033447,-122.42981938550449,Private room,165,30,0,,,10,364,0,
679964653266678170,"State-of-the-Art, Newly Renovated Cow Hollow Apt",114592523,Patrick,,Marina,37.79919902411665,-122.43405940905524,Entire home/apt,604,31,0,,,1,349,0,
677904191016015762,Richmond Monthly Lodging,133755963,Lee,,Outer Richmond,37.77822124643277,-122.48703382865453,Entire home/apt,249,30,0,,,3,120,0,
678102133928742810,Upscale Urban Sanctuary in Russian Hill,4037641,Rene,,Russian Hill,37.79934123972112,-122.41431807079165,Entire home/apt,275,30,1,2022-08-24,1,1,91,1,
678869752574257670,Cozy Room Perfect for Remote Workers,159355723,Outsite,,Western Addition,37.78742979788536,-122.43784671698863,Private room,215,30,0,,,10,364,0,
634244633053882932,Modern 2- Bedroom Apt in Heart of SF! Free Parking,460804571,Haku,,Downtown/Civic Center,37.78166,-122.41255,Entire home/apt,295,30,0,,,1,352,0,
680050881308191491,Entire Guest Suite by Painted Ladies,1301428,Tomas,,Western Addition,37.78030937548697,-122.43540115199801,Private room,179,2,4,2022-08-28,4,2,93,4,2022-007274STR
678929923909197387,Luxury Condo with 24-Hr Sec. at Best Location,182963199,Fareday,,North Beach,37.80452655064438,-122.40458615591115,Entire home/apt,176,30,1,2022-09-03,1,1,335,1,
680053132449636554,Stylish and Spacious Victorian Home in NoPa,1301428,Tomas,,Western Addition,37.779069843046514,-122.43711850971525,Entire home/apt,700,5,1,2022-09-04,1,2,80,1,2022-007274STR
680480435749252130,Lovely Apartment in downtown of San Francisco,253104798,Rodrigo,,Western Addition,37.77844991401933,-122.42440167394548,Entire home/apt,156,1,5,2022-08-22,4.05,1,83,5,2022-007299STR
634438217968657934,Spacious Victorian in Noe Valley,234020,Kansinee,,Noe Valley,37.75219128696617,-122.42708647146692,Entire home/apt,786,2,6,2022-09-05,2.65,1,346,6,2022-004806STR
680675714705390310,Bright 1 BR - Close to GG Park - Backyard (Shared),433787438,Diana,,Inner Richmond,37.77499,-122.46712,Entire home/apt,150,30,0,,,1,292,0,
635304024315850285,private bedroom in the the financial district!,88593294,Mohamed,,Financial District,37.79719,-122.39965,Private room,59,31,0,,,1,330,0,
679450530938928596,Cozy studio with a beautiful view of San Francisco,442005746,Nikolay,,South of Market,37.77829905249636,-122.41329036682203,Entire home/apt,108,30,0,,,1,304,0,
679494037282057245,Cozy Room Perfect for Remote Workers,159355723,Outsite,,Pacific Heights,37.78942964249316,-122.43668833727696,Private room,195,30,0,,,10,364,0,
679520789816154176,"Cozy Private Room, Wifi and Remote Workers",159355723,Outsite,,Castro/Upper Market,37.76396,-122.43018,Private room,175,30,0,,,10,364,0,
692931034929679780,"1 bd & loft. Muni, Bart, SFSU, CCSF & Whole Foods.",4344170,Katherine,,Ocean View,37.72242669136671,-122.46061147952587,Private room,107,2,0,,,2,365,0,2022-008295STR
680685774605111113,"Private suite with workspace, parking, yard!",1600680,Dean,,Ocean View,37.7184263,-122.4548845,Entire home/apt,82,2,4,2022-08-22,3.33,1,3,4,2022-006369STR
693573839098921427,Luxury 3-Bedroom Condo in PRIME Hayes Valley,464288610,Christopher,,Western Addition,37.7752124483544,-122.42676146053742,Entire home/apt,374,30,0,,,1,341,0,
635424373788464991,Awesome Rincon Hill 2Bed/2Bath,461075185,Benson,,Financial District,37.7886,-122.39283,Entire home/apt,400,2,14,2022-09-05,5.19,1,5,14,2022-005069STR
681252074960148968,Deluxe mini suite in hotel near Union Square,245447609,Kim,,Downtown/Civic Center,37.7889904,-122.4127915,Entire home/apt,350,3,0,,,6,41,0,1106655
681789047706140246,Wonderful SF 1.5 BR steps from Golden Gate Park,8776750,Conor,,Outer Richmond,37.77686,-122.48202,Entire home/apt,156,30,0,,,1,327,0,
681790267050668671,Pacific Heights Condo at the Rockwell,1257432,San Francisco Life Real Estate,,Western Addition,37.789905949444076,-122.42436473309346,Entire home/apt,148,30,0,,,31,341,0,
681828775450994047,Authentic victorian 2 bedrm in historic Dogpatch,30450121,An,,Potrero Hill,37.75695384234333,-122.39064893014627,Entire home/apt,375,1,1,2022-09-03,1,1,50,1,2022-008363STR
